"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_28401",46.8269412301816,-13.8436066017857,"Cluster 8","Cluster 8","Cluster 4","Cluster 3","Cluster 3"
"g_28409",18.1218045292564,-39.944357178161,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_28418",56.8808395449842,11.973418004949,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28444",-57.2879668112738,15.5084499543143,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_28485",37.6419110271127,-33.9632444919305,"Cluster 8","Cluster 2","Cluster 3","Cluster 4","Cluster 1"
"g_28503",52.7715675597569,7.88961133569107,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28522",-35.2220796786694,0.309112470272662,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_28523",61.8943236369447,0.122776454275719,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28526",-40.6922479321228,-4.6825470950146,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_28542",-43.8709635814061,3.00633207658507,"Cluster 7","Cluster 7","Cluster 8","Cluster 2","Cluster 1"
"g_28543",52.7086514056552,2.23569183881187,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28554",-42.6301821147165,15.5420708123537,"Cluster 7","Cluster 7","Cluster 8","Cluster 2","Cluster 1"
"g_28558",29.3266287129899,-38.996481139558,"Cluster 3","Cluster 2","Cluster 3","Cluster 4","Cluster 1"
"g_28571",-54.0633927703153,22.4701416521296,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28583",-46.1163585792871,8.14908942945183,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_28591",-4.97388887459674,-25.5777477249858,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_28609",-32.6893280039034,-4.78393696615506,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_28620",-35.8516464930043,-11.6293904721174,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_28634",0.714542083404256,-41.5847584052597,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_28656",9.47976718547589,-54.0308072960689,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_28657",28.6720258019425,-37.3351357838644,"Cluster 3","Cluster 2","Cluster 3","Cluster 6","Cluster 1"
"g_28666",57.9577352592325,-2.62604121215616,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_28723",45.1452042262784,5.29165647336765,"Cluster 7","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
